Code,Area,Year,,Year_adj,Sex,FSM,Pupils,Attainment8,Progress8
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,All other Pupils,497,53.7,0.05
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,All other Pupils,566,58.6,0.31
E09000013,Hammersmith and Fulham,2015/16,2015,2015,All,All Pupils,1350,54.1,0.12
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,All Pupils,649,51.3,-0.02
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,All Pupils,701,56.7,0.26
E09000013,Hammersmith and Fulham,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,287,45.7,-0.09
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,152,43.4,-0.22
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,135,48.3,0.07
E09000014,Haringey,2015/16,2015,2015,All,All other Pupils,1638,52.4,0.35
E09000014,Haringey,2015/16,2015,2015,Boys,All other Pupils,784,50.1,0.28
E09000014,Haringey,2015/16,2015,2015,Girls,All other Pupils,854,54.4,0.42
E09000014,Haringey,2015/16,2015,2015,All,All Pupils,2231,50.1,0.28
E09000014,Haringey,2015/16,2015,2015,Boys,All Pupils,1112,47.5,0.18
E09000014,Haringey,2015/16,2015,2015,Girls,All Pupils,1119,52.6,0.37
E09000014,Haringey,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,593,43.8,0.09
E09000014,Haringey,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,328,41.3,-0.04
E09000014,Haringey,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,265,46.8,0.23
E09000015,Harrow,2015/16,2015,2015,All,All other Pupils,1848,54,0.33
E09000015,Harrow,2015/16,2015,2015,Boys,All other Pupils,932,51.5,0.14
E09000015,Harrow,2015/16,2015,2015,Girls,All other Pupils,916,56.5,0.52
E09000015,Harrow,2015/16,2015,2015,All,All Pupils,2127,53.1,0.32
E09000015,Harrow,2015/16,2015,2015,Boys,All Pupils,1063,50.7,0.11
E09000015,Harrow,2015/16,2015,2015,Girls,All Pupils,1064,55.6,0.52
E09000015,Harrow,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,279,47.4,0.25
E09000015,Harrow,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,131,44.6,-0.07
E09000015,Harrow,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,148,49.8,0.52
E09000016,Havering,2015/16,2015,2015,All,All other Pupils,2613,51.4,-0.08
E09000016,Havering,2015/16,2015,2015,Boys,All other Pupils,1323,49.5,-0.21
E09000016,Havering,2015/16,2015,2015,Girls,All other Pupils,1290,53.4,0.06
E09000016,Havering,2015/16,2015,2015,All,All Pupils,2917,50,-0.14
E09000016,Havering,2015/16,2015,2015,Boys,All Pupils,1481,48.3,-0.28
E09000016,Havering,2015/16,2015,2015,Girls,All Pupils,1436,51.8,0
E09000016,Havering,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,304,38.1,-0.68
E09000016,Havering,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,158,38.3,-0.78
E09000016,Havering,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,146,38,-0.56
E09000017,Hillingdon,2015/16,2015,2015,All,All other Pupils,2651,53.2,0.13
E09000017,Hillingdon,2015/16,2015,2015,Boys,All other Pupils,1401,51.1,0.02
E09000017,Hillingdon,2015/16,2015,2015,Girls,All other Pupils,1250,55.4,0.26
E09000017,Hillingdon,2015/16,2015,2015,All,All Pupils,3136,51.2,0.06
E09000017,Hillingdon,2015/16,2015,2015,Boys,All Pupils,1637,49.4,-0.05
E09000017,Hillingdon,2015/16,2015,2015,Girls,All Pupils,1499,53.2,0.19
E09000017,Hillingdon,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,485,40.7,-0.32
E09000017,Hillingdon,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,236,39.4,-0.45
E09000017,Hillingdon,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,249,42,-0.19
E09000018,Hounslow,2015/16,2015,2015,All,All other Pupils,2287,51.8,0.33
E09000018,Hounslow,2015/16,2015,2015,Boys,All other Pupils,1169,49.3,0.19
E09000018,Hounslow,2015/16,2015,2015,Girls,All other Pupils,1118,54.5,0.47
E09000018,Hounslow,2015/16,2015,2015,All,All Pupils,2667,51.1,0.29
E09000018,Hounslow,2015/16,2015,2015,Boys,All Pupils,1354,48.8,0.15
E09000018,Hounslow,2015/16,2015,2015,Girls,All Pupils,1313,53.6,0.43
E09000018,Hounslow,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,380,46.9,0.08
E09000018,Hounslow,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,185,45.4,-0.05
E09000018,Hounslow,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,195,48.4,0.22
E09000019,Islington,2015/16,2015,2015,All,All other Pupils,933,52.3,0.22
E09000019,Islington,2015/16,2015,2015,Boys,All other Pupils,531,51.1,0.14
E09000019,Islington,2015/16,2015,2015,Girls,All other Pupils,402,53.9,0.33
E09000019,Islington,2015/16,2015,2015,All,All Pupils,1397,50.6,0.19
E09000019,Islington,2015/16,2015,2015,Boys,All Pupils,761,49.7,0.12
E09000019,Islington,2015/16,2015,2015,Girls,All Pupils,636,51.7,0.28
E09000019,Islington,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,464,47.1,0.12
E09000019,Islington,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,230,46.3,0.06
E09000019,Islington,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,234,47.8,0.19
E09000020,Kensington and Chelsea,2015/16,2015,2015,All,All other Pupils,624,57.4,0.36
E09000020,Kensington and Chelsea,2015/16,2015,2015,Boys,All other Pupils,368,57.6,0.34
E09000020,Kensington and Chelsea,2015/16,2015,2015,Girls,All other Pupils,256,57.2,0.4
E09000020,Kensington and Chelsea,2015/16,2015,2015,All,All Pupils,740,56.6,0.34
E09000020,Kensington and Chelsea,2015/16,2015,2015,Boys,All Pupils,430,56.1,0.29
E09000020,Kensington and Chelsea,2015/16,2015,2015,Girls,All Pupils,310,57.1,0.41
E09000020,Kensington and Chelsea,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,116,51.8,0.22
E09000020,Kensington and Chelsea,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,62,47.5,0.01
E09000020,Kensington and Chelsea,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,54,56.8,0.45
E09000021,Kingston upon Thames,2015/16,2015,2015,All,All other Pupils,1393,59.4,0.38
E09000021,Kingston upon Thames,2015/16,2015,2015,Boys,All other Pupils,631,58,0.31
E09000021,Kingston upon Thames,2015/16,2015,2015,Girls,All other Pupils,762,60.6,0.45
E09000021,Kingston upon Thames,2015/16,2015,2015,All,All Pupils,1515,58.2,0.34
E09000021,Kingston upon Thames,2015/16,2015,2015,Boys,All Pupils,703,56.5,0.26
E09000021,Kingston upon Thames,2015/16,2015,2015,Girls,All Pupils,812,59.7,0.41
E09000021,Kingston upon Thames,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,122,43.8,-0.13
E09000021,Kingston upon Thames,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,72,43.2,-0.1
E09000021,Kingston upon Thames,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,50,44.7,-0.16
E09000022,Lambeth,2015/16,2015,2015,All,All other Pupils,1401,52.1,0.16
E09000022,Lambeth,2015/16,2015,2015,Boys,All other Pupils,717,50.1,0.03
E09000022,Lambeth,2015/16,2015,2015,Girls,All other Pupils,684,54.1,0.3
E09000022,Lambeth,2015/16,2015,2015,All,All Pupils,1887,49.7,0.06
E09000022,Lambeth,2015/16,2015,2015,Boys,All Pupils,970,47.2,-0.09
E09000022,Lambeth,2015/16,2015,2015,Girls,All Pupils,917,52.3,0.22
E09000022,Lambeth,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,486,42.7,-0.21
E09000022,Lambeth,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,253,38.8,-0.41
E09000022,Lambeth,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,233,47,0.02
E09000023,Lewisham,2015/16,2015,2015,All,All other Pupils,1859,49.6,-0.03
E09000023,Lewisham,2015/16,2015,2015,Boys,All other Pupils,988,46.7,-0.23
E09000023,Lewisham,2015/16,2015,2015,Girls,All other Pupils,871,52.9,0.2
E09000023,Lewisham,2015/16,2015,2015,All,All Pupils,2334,47.5,-0.14
E09000023,Lewisham,2015/16,2015,2015,Boys,All Pupils,1236,44.2,-0.35
E09000023,Lewisham,2015/16,2015,2015,Girls,All Pupils,1098,51.2,0.1
E09000023,Lewisham,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,475,39.2,-0.55
E09000023,Lewisham,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,248,34.3,-0.83
E09000023,Lewisham,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,227,44.5,-0.23
E09000024,Merton,2015/16,2015,2015,All,All other Pupils,1207,54.2,0.35
E09000024,Merton,2015/16,2015,2015,Boys,All other Pupils,608,52.3,0.22
E09000024,Merton,2015/16,2015,2015,Girls,All other Pupils,599,56.2,0.49
E09000024,Merton,2015/16,2015,2015,All,All Pupils,1440,52.4,0.27
E09000024,Merton,2015/16,2015,2015,Boys,All Pupils,731,50.3,0.1
E09000024,Merton,2015/16,2015,2015,Girls,All Pupils,709,54.6,0.45
E09000024,Merton,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,233,42.9,-0.12
E09000024,Merton,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,123,40,-0.46
E09000024,Merton,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,110,46,0.26
E09000025,Newham,2015/16,2015,2015,All,All other Pupils,2460,52.1,0.28
E09000025,Newham,2015/16,2015,2015,Boys,All other Pupils,1175,49.6,0.1
E09000025,Newham,2015/16,2015,2015,Girls,All other Pupils,1285,54.4,0.44
E09000025,Newham,2015/16,2015,2015,All,All Pupils,3489,50.9,0.23
E09000025,Newham,2015/16,2015,2015,Boys,All Pupils,1780,48.9,0.1
E09000025,Newham,2015/16,2015,2015,Girls,All Pupils,1709,53.1,0.37
E09000025,Newham,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,1029,48.2,0.13
E09000025,Newham,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,605,47.5,0.08
E09000025,Newham,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,424,49,0.19
E09000026,Redbridge,2015/16,2015,2015,All,All other Pupils,2730,55.7,0.33
E09000026,Redbridge,2015/16,2015,2015,Boys,All other Pupils,1419,53.4,0.17
E09000026,Redbridge,2015/16,2015,2015,Girls,All other Pupils,1311,58.1,0.52
E09000026,Redbridge,2015/16,2015,2015,All,All Pupils,3363,53.9,0.28
E09000026,Redbridge,2015/16,2015,2015,Boys,All Pupils,1747,51.5,0.11
E09000026,Redbridge,2015/16,2015,2015,Girls,All Pupils,1616,56.5,0.47
E09000026,Redbridge,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,633,46.4,0.07
E09000026,Redbridge,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,328,43.1,-0.13
E09000026,Redbridge,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,305,49.9,0.28
E09000027,Richmond upon Thames,2015/16,2015,2015,All,All other Pupils,1244,56,0.16
E09000027,Richmond upon Thames,2015/16,2015,2015,Boys,All other Pupils,581,53.5,-0.01
E09000027,Richmond upon Thames,2015/16,2015,2015,Girls,All other Pupils,663,58.2,0.32
E09000027,Richmond upon Thames,2015/16,2015,2015,All,All Pupils,1367,54.6,0.1
E09000027,Richmond upon Thames,2015/16,2015,2015,Boys,All Pupils,638,52.1,-0.07
E09000027,Richmond upon Thames,2015/16,2015,2015,Girls,All Pupils,729,56.8,0.24
E09000027,Richmond upon Thames,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,123,40.8,-0.56
E09000027,Richmond upon Thames,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,57,38.7,-0.58
E09000027,Richmond upon Thames,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,66,42.5,-0.54
E09000028,Southwark,2015/16,2015,2015,All,All other Pupils,1710,55,0.33
E09000028,Southwark,2015/16,2015,2015,Boys,All other Pupils,855,53.4,0.28
E09000028,Southwark,2015/16,2015,2015,Girls,All other Pupils,855,56.6,0.37
E09000028,Southwark,2015/16,2015,2015,All,All Pupils,2386,52.9,0.22
E09000028,Southwark,2015/16,2015,2015,Boys,All Pupils,1141,51.3,0.15
E09000028,Southwark,2015/16,2015,2015,Girls,All Pupils,1245,54.5,0.3
E09000028,Southwark,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,676,47.7,-0.03
E09000028,Southwark,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,286,44.8,-0.25
E09000028,Southwark,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,390,49.9,0.14
E09000029,Sutton,2015/16,2015,2015,All,All other Pupils,2456,59.9,0.22
E09000029,Sutton,2015/16,2015,2015,Boys,All other Pupils,1259,58.4,0.06
E09000029,Sutton,2015/16,2015,2015,Girls,All other Pupils,1197,61.5,0.39
E09000029,Sutton,2015/16,2015,2015,All,All Pupils,2667,58.7,0.17
E09000029,Sutton,2015/16,2015,2015,Boys,All Pupils,1370,57.1,0
E09000029,Sutton,2015/16,2015,2015,Girls,All Pupils,1297,60.3,0.34
E09000029,Sutton,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,211,44,-0.47
E09000029,Sutton,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,111,42.2,-0.61
E09000029,Sutton,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,100,45.9,-0.31
E09000030,Tower Hamlets,2015/16,2015,2015,All,All other Pupils,1380,52.2,0.22
E09000030,Tower Hamlets,2015/16,2015,2015,Boys,All other Pupils,711,50.2,0.1
E09000030,Tower Hamlets,2015/16,2015,2015,Girls,All other Pupils,669,54.3,0.35
E09000030,Tower Hamlets,2015/16,2015,2015,All,All Pupils,2570,50.2,0.15
E09000030,Tower Hamlets,2015/16,2015,2015,Boys,All Pupils,1294,48.7,0.04
E09000030,Tower Hamlets,2015/16,2015,2015,Girls,All Pupils,1276,51.7,0.26
E09000030,Tower Hamlets,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,1190,47.9,0.07
E09000030,Tower Hamlets,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,583,46.9,-0.03
E09000030,Tower Hamlets,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,607,48.8,0.17
E09000031,Waltham Forest,2015/16,2015,2015,All,All other Pupils,2092,51.9,0.29
E09000031,Waltham Forest,2015/16,2015,2015,Boys,All other Pupils,1024,49.3,0.12
E09000031,Waltham Forest,2015/16,2015,2015,Girls,All other Pupils,1068,54.3,0.45
E09000031,Waltham Forest,2015/16,2015,2015,All,All Pupils,2539,50.4,0.23
E09000031,Waltham Forest,2015/16,2015,2015,Boys,All Pupils,1259,48,0.06
E09000031,Waltham Forest,2015/16,2015,2015,Girls,All Pupils,1280,52.8,0.39
E09000031,Waltham Forest,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,447,43.5,-0.05
E09000031,Waltham Forest,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,235,42.1,-0.2
E09000031,Waltham Forest,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,212,45,0.11
E09000032,Wandsworth,2015/16,2015,2015,All,All other Pupils,1379,53.6,0.2
E09000032,Wandsworth,2015/16,2015,2015,Boys,All other Pupils,711,52.2,0.11
E09000032,Wandsworth,2015/16,2015,2015,Girls,All other Pupils,668,55.1,0.31
E09000032,Wandsworth,2015/16,2015,2015,All,All Pupils,1660,52.1,0.15
E09000032,Wandsworth,2015/16,2015,2015,Boys,All Pupils,872,50.7,0.05
E09000032,Wandsworth,2015/16,2015,2015,Girls,All Pupils,788,53.6,0.25
E09000032,Wandsworth,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,281,44.6,-0.15
E09000032,Wandsworth,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,161,44.1,-0.18
E09000032,Wandsworth,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,120,45.3,-0.1
E09000033,Westminster,2015/16,2015,2015,All,All other Pupils,1064,56.6,0.35
E09000033,Westminster,2015/16,2015,2015,Boys,All other Pupils,487,52,0.08
E09000033,Westminster,2015/16,2015,2015,Girls,All other Pupils,577,60.5,0.57
E09000033,Westminster,2015/16,2015,2015,All,All Pupils,1566,54.5,0.32
E09000033,Westminster,2015/16,2015,2015,Boys,All Pupils,763,51,0.09
E09000033,Westminster,2015/16,2015,2015,Girls,All Pupils,803,57.8,0.53
E09000033,Westminster,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,502,50,0.25
E09000033,Westminster,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,276,49.2,0.09
E09000033,Westminster,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,226,51,0.44
E09000002,Barking and Dagenham,2016/17,2016,2016,All,All other Pupils,1840,47.8,0.28
E09000002,Barking and Dagenham,2016/17,2016,2016,Boys,All other Pupils,965,44.8,0.07
